id,name,type,url,last_processed_at,is_active,config,created_at,updated_at
094a29b1-e237-46f8-b06d-fd17c7d53b8f,Freakonomics Radio,podcast,https://feeds.simplecast.com/Y8lFbOT4,2025-07-17 00:00:43.638+00,true,"{""description"": ""Hidden side of everything"", ""update_frequency"": ""daily""}",2025-07-14 17:28:40.521917+00,2025-07-17 00:00:43.820694+00
0cca4e2d-cef2-45e5-aa7f-09734b8748a1,Bloomberg Markets,podcast,https://feeds.simplecast.com/c8BHYNHg,,true,"{""priority"": ""high"", ""categories"": [""finance"", ""markets"", ""trading""], ""description"": ""Market analysis and trading insights"", ""extract_guests"": true, ""update_frequency"": ""daily"", ""process_transcript"": true}",2025-07-10 17:03:14.411948+00,2025-07-16 19:53:15.398943+00
0de1bc5a-e531-44b0-bb19-0aac2decea03,Bloomberg Markets News,rss,https://feeds.bloomberg.com/markets/news.rss,2025-07-14 17:26:21.353+00,false,"{""priority"": ""high"", ""categories"": [""finance"", ""markets"", ""economy""], ""description"": ""Bloomberg market news feed"", ""update_frequency"": ""15min"", ""extract_full_article"": true}",2025-07-10 17:03:15.992236+00,2025-07-14 17:28:39.680456+00
1762f62c-5784-4ddf-b59c-3ff9ee7c1b12,Forbes Daily Briefing,podcast,https://rss.art19.com/forbes-daily-briefing,2025-07-17 00:01:29.049+00,true,"{""priority"": ""medium"", ""categories"": [""finance"", ""business"", ""news""], ""description"": ""Forbes' daily business and finance news briefing"", ""extract_guests"": true, ""update_frequency"": ""daily"", ""process_transcript"": true}",2025-07-16 19:52:59.223961+00,2025-07-17 00:01:29.237739+00
285c8f40-9ab4-4a02-a394-f457d116e402,The Verge,rss,https://www.theverge.com/rss/index.xml,2025-07-17 00:00:40.808+00,true,"{""description"": ""Technology, science, art, and culture"", ""update_frequency"": ""hourly""}",2025-07-14 17:28:41.554213+00,2025-07-17 00:00:40.99647+00
29a27f6c-c293-4571-9412-142ebb1fe16c,Wall Street Journal Markets,rss,https://feeds.wsj.com/public/resources/documents/WSJ_MARKETS.xml,,false,"{""priority"": ""high"", ""categories"": [""finance"", ""markets"", ""economy""], ""description"": ""WSJ market news and analysis"", ""update_frequency"": ""15min"", ""extract_full_article"": true}",2025-07-10 17:03:15.435353+00,2025-07-14 17:28:39.680456+00
316fa198-9ca6-47e0-904c-7b5e1b9708a1,Bloomberg Surveillance,podcast,https://feeds.simplecast.com/54nAGcIl,2025-07-17 00:00:34.603+00,true,"{""priority"": ""high"", ""show_time"": ""pre_market"", ""categories"": [""finance"", ""markets"", ""global_economy""], ""description"": ""Global markets and economic analysis"", ""extract_guests"": true, ""update_frequency"": ""daily"", ""process_transcript"": true}",2025-07-10 17:03:14.214667+00,2025-07-17 00:00:34.785184+00
4822dead-85e7-4575-b086-7e6719de36f3,CNBC Halftime Report,podcast,https://feeds.simplecast.com/qltQrd_8,2025-07-17 00:01:15.867+00,true,"{""priority"": ""medium"", ""categories"": [""finance"", ""markets"", ""trading""], ""description"": ""CNBC's Halftime Report podcast - midday market analysis"", ""extract_guests"": true, ""update_frequency"": ""daily"", ""process_transcript"": true}",2025-07-16 19:52:55.655622+00,2025-07-17 00:01:16.051112+00
49373df3-6c85-419b-8eb5-b8f2c13d22d8,FRED Economic Data,api,https://api.stlouisfed.org/fred/series,,true,"{""series"": [""DGS10"", ""UNRATE"", ""CPIAUCSL"", ""GDP""], ""priority"": ""high"", ""categories"": [""economic_data"", ""indicators"", ""statistics""], ""api_key_required"": true, ""update_frequency"": ""daily""}",2025-07-19 02:24:02.78579+00,2025-07-19 02:24:02.78579+00
4b6868a8-6675-4c79-aea2-1bb23ab4910e,MIT Technology Review,rss,https://www.technologyreview.com/feed/,2025-07-17 00:00:00.616+00,true,"{""description"": ""Emerging technology insights"", ""update_frequency"": ""hourly""}",2025-07-14 17:28:43.328369+00,2025-07-17 00:00:00.796035+00
50265eb1-83f2-4299-b941-68237c883837,Masters of Scale,podcast,https://rss.art19.com/masters-of-scale,2025-07-17 00:00:59.409+00,true,"{""description"": ""Reid Hoffman on scaling businesses"", ""update_frequency"": ""daily""}",2025-07-14 17:28:40.708787+00,2025-07-17 00:00:59.596329+00
5368ab3f-aa56-43ee-be31-e6a714cffdc4,Grant Williams Podcast,podcast,https://feeds.megaphone.fm/TGPN7186847623,,true,"{""priority"": ""low"", ""categories"": [""finance"", ""macro"", ""alternative_views""], ""update_frequency"": ""weekly""}",2025-07-19 02:24:02.400858+00,2025-07-19 02:24:02.400858+00
54d4093b-99dd-4e97-902c-785f6d21d5f7,The Economist - World News,rss,https://www.economist.com/the-world-this-week/rss.xml,,true,"{""priority"": ""medium"", ""categories"": [""geopolitics"", ""economics"", ""analysis""], ""update_frequency"": ""daily""}",2025-07-19 02:24:01.948821+00,2025-07-19 02:24:01.948821+00
56f2ce30-1ba7-4c61-9b87-0bcb4eae99ea,MacroVoices,podcast,https://feeds.feedburner.com/MacroVoices,,true,"{""priority"": ""medium"", ""categories"": [""macro"", ""commodities"", ""global_markets""], ""update_frequency"": ""weekly""}",2025-07-19 02:24:02.251886+00,2025-07-19 02:24:02.251886+00
5ddaed96-35c2-41bc-b7c1-318f873b20d0,Unchained Podcast,podcast,https://unchained.libsyn.com/rss,,false,"{""priority"": ""low"", ""categories"": [""crypto"", ""blockchain"", ""fintech""], ""description"": ""Cryptocurrency and blockchain analysis"", ""extract_guests"": true, ""update_frequency"": ""weekly"", ""process_transcript"": true}",2025-07-10 17:03:16.917+00,2025-07-16 19:39:06.260152+00
